Date,Open,High,Low,Close,Adj Close,Volume
2021-11-17,608.000000,611.799988,606.049988,608.000000,596.474976,1022417
2021-11-18,608.000000,610.000000,601.450012,608.750000,597.210693,841689
2021-11-22,611.000000,616.599976,603.549988,606.799988,595.297607,3998703
2021-11-23,607.450012,613.500000,599.200012,611.549988,599.957581,1508700
2021-11-24,610.049988,611.549988,602.000000,602.950012,591.520691,1845329
2021-11-25,603.299988,606.950012,594.049988,606.400024,594.905334,1518710
2021-11-26,603.000000,612.400024,599.799988,602.000000,590.588623,1952921
2021-11-29,600.000000,602.000000,589.250000,598.000000,586.664490,1125420
2021-11-30,595.000000,602.500000,592.049988,594.950012,583.672363,5219689
2021-12-01,595.099976,598.200012,574.299988,576.099976,565.179626,3306382
2021-12-02,577.000000,583.000000,575.099976,578.549988,567.583191,1931467
2021-12-03,580.000000,584.049988,578.049988,581.349976,570.330139,1202147
2021-12-06,583.000000,583.000000,566.000000,567.299988,556.546448,1525444
2021-12-07,569.950012,574.650024,567.200012,572.400024,561.549744,889360
2021-12-08,575.400024,576.849976,572.450012,574.049988,563.168457,1406874
2021-12-09,575.500000,580.950012,571.500000,579.750000,568.760376,1444157
2021-12-10,582.000000,583.650024,575.500000,577.799988,566.847351,1258379
2021-12-13,582.950012,583.150024,574.049988,578.900024,567.926575,1626598
2021-12-14,578.000000,580.400024,573.150024,579.400024,568.417053,1167762
2021-12-15,577.549988,578.049988,571.799988,573.299988,562.432617,929113
2021-12-16,574.250000,575.900024,569.000000,570.250000,559.440430,884563
2021-12-17,570.500000,572.000000,561.549988,564.750000,554.044739,1884521
2021-12-20,562.000000,563.650024,550.400024,558.200012,547.618958,1332911
2021-12-21,559.000000,564.799988,557.000000,559.099976,548.501892,641150
2021-12-22,560.099976,565.250000,558.000000,564.049988,553.358032,912026
2021-12-23,566.000000,571.000000,562.700012,569.450012,558.655701,926683
2021-12-24,573.900024,573.900024,562.150024,563.700012,553.014648,418659
2021-12-27,564.000000,564.400024,558.250000,561.450012,550.807251,571197
2021-12-28,561.950012,565.250000,560.700012,562.450012,551.788330,394545
2021-12-29,563.450012,570.299988,561.000000,566.599976,555.859619,1354842
2021-12-30,566.599976,572.549988,561.750000,571.549988,560.715820,917276
2021-12-31,573.000000,581.250000,571.799988,580.049988,569.054810,1024258
2022-01-03,580.000000,584.900024,578.549988,581.150024,570.133911,1161811
2022-01-04,583.000000,583.000000,570.500000,574.049988,563.168457,3062561
2022-01-05,575.000000,583.500000,573.650024,582.500000,571.458252,1001768
2022-01-06,582.500000,583.450012,574.400024,582.549988,571.507263,1246823
2022-01-07,583.049988,590.849976,582.549988,587.500000,576.363464,1492507
2022-01-10,589.000000,591.250000,586.049988,589.099976,577.933167,813368
2022-01-11,590.400024,590.799988,584.000000,587.549988,576.412537,815198
2022-01-12,590.099976,590.400024,580.599976,582.500000,571.458252,1287352
2022-01-13,582.500000,584.849976,577.549988,580.700012,569.692444,1421440
2022-01-14,576.599976,584.200012,571.049988,575.799988,564.885254,2009075
2022-01-17,575.799988,578.450012,568.900024,569.599976,558.802795,1486008
2022-01-18,569.599976,571.299988,562.599976,563.900024,553.210876,1185072
2022-01-19,563.900024,569.599976,560.000000,568.549988,557.772705,1103105
2022-01-20,568.950012,569.000000,556.250000,559.849976,549.237610,1007594
2022-01-21,555.200012,558.750000,547.900024,551.549988,541.094971,2389963
2022-01-24,552.000000,554.349976,541.000000,546.099976,535.748230,2431761
2022-01-25,544.099976,546.150024,536.650024,542.799988,532.510803,1847960
2022-01-27,541.000000,542.000000,527.049988,529.049988,519.021423,2183776
2022-01-28,533.250000,542.500000,531.099976,533.950012,523.828613,1426419
2022-01-31,538.099976,541.500000,535.299988,536.750000,526.575562,1749168
2022-02-01,541.150024,550.349976,538.000000,546.450012,536.091675,1500268
2022-02-02,550.500000,562.750000,545.000000,557.450012,546.883118,1157446
2022-02-03,549.950012,559.200012,548.650024,556.450012,545.902100,1798123
2022-02-04,560.000000,570.250000,556.000000,569.000000,558.214172,2712529
2022-02-07,570.000000,570.750000,559.599976,566.700012,555.957764,2481096
2022-02-08,566.700012,569.900024,561.250000,562.250000,551.592102,820398
2022-02-09,564.400024,574.450012,562.000000,570.500000,559.685669,1381438
2022-02-10,570.500000,571.150024,560.349976,564.599976,553.897583,2044201
2022-02-11,562.000000,563.750000,555.549988,560.849976,550.218628,1053326
2022-02-14,551.099976,559.900024,546.250000,553.099976,542.615540,1256655
2022-02-15,552.500000,563.900024,550.900024,562.450012,551.788330,1349136
2022-02-16,562.450012,566.700012,556.000000,561.849976,551.199707,1053001
2022-02-17,562.099976,565.099976,553.150024,554.400024,543.890991,1222505
2022-02-18,551.000000,554.700012,545.500000,547.799988,537.416016,1383430
2022-02-21,545.450012,554.900024,541.700012,553.599976,543.106079,1157096
2022-02-22,542.900024,551.849976,542.200012,550.049988,539.623413,1465489
2022-02-23,550.049988,551.000000,540.599976,543.250000,532.952332,940986
2022-02-24,532.000000,539.549988,526.400024,533.700012,523.583313,3036292
2022-02-25,536.000000,546.900024,533.450012,544.849976,534.521973,1284779
2022-02-28,542.799988,570.099976,526.950012,563.349976,552.671265,7992990
2022-03-02,562.950012,570.000000,558.700012,565.250000,554.535278,1871881
2022-03-03,566.299988,570.750000,560.000000,562.900024,552.229919,2166986
2022-03-04,557.000000,561.200012,537.000000,539.049988,528.831909,2103625
2022-03-07,520.000000,527.000000,502.000000,505.950012,496.359375,3178030
2022-03-08,506.000000,522.799988,505.000000,521.549988,511.663635,2161459
2022-03-09,520.000000,533.049988,516.500000,528.099976,518.089478,2952144
2022-03-10,538.950012,547.000000,531.549988,545.700012,535.355896,1658773
2022-03-11,545.500000,549.549988,540.849976,547.549988,537.170776,1238386
2022-03-14,546.400024,548.400024,532.250000,540.599976,530.352539,3049209
2022-03-15,539.849976,558.750000,539.799988,556.650024,546.098267,2726150
2022-03-16,563.500000,566.000000,559.400024,564.700012,553.995789,1685983
2022-03-17,566.200012,570.700012,555.650024,560.250000,549.630127,1988370
2022-03-21,554.500000,560.950012,547.099976,549.549988,539.132813,1119604
2022-03-22,549.000000,549.000000,531.299988,534.000000,523.877625,2369464
2022-03-23,538.500000,538.500000,522.099976,522.849976,512.938965,3708515
2022-03-24,520.900024,530.799988,519.650024,523.750000,513.821960,2528645
2022-03-25,526.000000,527.150024,517.700012,519.799988,509.946808,1185395
2022-03-28,522.150024,524.150024,512.200012,515.150024,505.384949,2529886
2022-03-29,516.000000,523.000000,513.650024,515.799988,506.022614,2072288
2022-03-30,518.299988,529.599976,518.250000,527.700012,517.697021,3274773
2022-03-31,530.900024,539.000000,527.700012,536.200012,526.035950,2884367
2022-04-01,539.000000,545.000000,536.250000,542.450012,532.167542,1488872
2022-04-04,542.900024,546.000000,534.599976,544.650024,534.325806,2818537
2022-04-05,548.000000,553.000000,546.299988,548.950012,538.544312,2471895
2022-04-06,548.950012,548.950012,538.599976,541.450012,531.186462,1813477
2022-04-07,540.500000,556.000000,540.500000,550.549988,540.113892,2078365
2022-04-08,550.549988,558.000000,550.200012,556.950012,546.392639,974621
2022-04-11,558.549988,558.549988,549.250000,552.400024,541.928955,1472046
2022-04-12,552.000000,556.900024,548.099976,553.750000,543.253357,1373926
2022-04-13,553.799988,557.700012,551.000000,555.900024,545.362488,1405005
2022-04-18,550.000000,563.849976,549.150024,562.700012,552.033569,1332556
2022-04-19,567.450012,569.700012,546.000000,549.000000,538.593323,3225494
2022-04-20,550.000000,556.299988,542.349976,550.299988,539.868652,1341149
2022-04-21,552.450012,563.000000,550.799988,561.849976,551.199707,1293680
2022-04-22,557.950012,564.700012,554.049988,559.849976,549.237610,1804787
2022-04-25,555.549988,559.900024,545.549988,551.299988,540.849670,1262104
2022-04-26,554.200012,561.500000,554.000000,559.900024,549.286682,1950606
2022-04-27,555.200012,561.250000,549.700012,559.849976,549.237610,1704589
2022-04-28,564.000000,576.849976,560.049988,572.250000,561.402588,2316486
2022-04-29,575.000000,575.099976,554.099976,556.700012,546.147339,3244210
2022-05-02,552.000000,559.450012,549.250000,557.200012,546.637878,1089778
2022-05-04,557.799988,565.000000,532.299988,538.049988,527.850891,3409715
2022-05-05,540.500000,543.450012,523.599976,529.049988,519.021423,3769187
2022-05-06,518.200012,526.900024,508.350006,510.799988,501.117401,3569229
2022-05-09,510.799988,513.400024,502.049988,504.549988,494.985870,1443702
2022-05-10,505.799988,508.700012,499.350006,502.549988,493.023834,2305275
2022-05-11,502.549988,509.950012,494.200012,507.100006,497.487579,1809222
2022-05-12,507.000000,507.100006,495.500000,498.350006,488.903442,2176908
2022-05-13,502.000000,512.450012,498.350006,500.799988,491.306946,2733902
2022-05-16,504.600006,505.950012,495.399994,496.799988,487.382782,895516
2022-05-17,499.450012,503.649994,494.299988,501.850006,492.337097,2052078
2022-05-18,504.250000,515.250000,502.000000,509.799988,500.136383,3035188
2022-05-19,499.049988,502.850006,489.350006,492.100006,482.771912,2053355
2022-05-20,497.700012,507.350006,496.850006,503.350006,493.808655,2149292
2022-05-23,505.000000,513.150024,504.000000,506.299988,496.702698,1572782
2022-05-24,508.600006,508.600006,498.200012,502.149994,492.631378,2089081
2022-05-25,504.850006,505.000000,493.450012,494.450012,485.077362,1054477
2022-05-26,497.299988,501.500000,488.299988,497.850006,488.412933,2070365
2022-05-27,501.200012,501.350006,495.700012,497.700012,488.265747,1089096
2022-05-30,501.399994,510.500000,500.000000,510.100006,500.430695,1594338
2022-05-31,509.799988,526.250000,504.100006,519.000000,509.161987,5516299
2022-06-01,519.349976,527.000000,515.400024,517.549988,507.739410,1596876
2022-06-02,517.549988,524.950012,512.049988,521.700012,511.810760,1883760
2022-06-03,521.500000,522.950012,512.650024,513.950012,504.207703,2117973
2022-06-06,509.000000,513.150024,505.350006,508.600006,498.959137,3537326
2022-06-07,507.899994,507.899994,496.700012,501.250000,491.748474,1213684
2022-06-08,498.000000,501.049988,491.549988,494.799988,485.420715,1415492
2022-06-09,495.000000,498.500000,488.700012,497.649994,488.216675,1191289
